dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.229331,7.640766,0.049047,0.490470,2.452348,12.261740,0.014677
0.200000,0.376748,7.642872,0.196478,0.737156,1.233433,-6.094574,0.013889
0.200000,0.622432,7.646126,0.442184,1.228531,2.456874,6.117205,0.012609
0.200000,0.966371,7.650165,0.786147,1.719812,2.456404,-0.002349,0.010888
0.200000,1.408542,7.654513,1.228339,2.210961,2.455746,-0.003290,0.008799
0.200000,1.948915,7.658618,1.768727,2.701941,2.454901,-0.004230,0.006431
0.200000,2.492724,7.661515,2.312544,2.719085,0.085720,-11.845904,0.004257
0.200000,2.941747,7.663053,2.761570,2.245127,-2.369791,-12.277552,0.002618
0.200000,3.292509,7.663762,3.112333,1.753815,-2.456559,-0.433840,0.001437
0.200000,3.545036,7.664023,3.364860,1.262638,-2.455888,0.003354,0.000640
0.200000,3.699348,7.664085,3.519172,0.771557,-2.455405,0.002416,0.000175
0.200000,3.755455,7.664091,3.575279,0.280535,-2.455110,0.001476,0.000010
0.200000,3.758958,7.664091,3.578782,0.017517,-1.315089,5.700104,6.283185
0.200000,3.758958,7.664091,3.578782,0.000000,-0.087585,6.137517,6.283185
