dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.234737,7.272506,0.049047,0.490470,2.452348,12.261740,0.014677
0.200000,0.381863,7.274607,0.196188,0.980939,2.452348,0.000000,0.013889
0.200000,0.627076,7.277856,0.441423,1.471409,2.452348,0.000000,0.012609
0.200000,0.970381,7.281887,0.784751,1.961878,2.452348,0.000000,0.010888
0.200000,1.411782,7.286227,1.226174,2.452348,2.452348,0.000000,0.008799
0.200000,1.951283,7.290326,1.765691,2.942818,2.452348,-0.000000,0.006431
0.200000,2.494292,7.293218,2.308707,2.487345,-2.277365,-23.648567,0.004257
0.200000,2.942711,7.294754,2.757129,1.996875,-2.452348,-0.874913,0.002618
0.200000,3.293038,7.295462,3.107457,1.506405,-2.452348,-0.000000,0.001437
0.200000,3.545272,7.295723,3.359691,1.015936,-2.452348,0.000000,0.000640
0.200000,3.699412,7.295785,3.513831,0.525466,-2.452348,-0.000000,0.000175
0.200000,3.755459,7.295791,3.569877,0.034997,-2.452348,0.000000,0.000010
0.200000,3.758958,7.295791,3.573377,0.000000,-0.174983,11.386827,6.283185
0.200000,3.758958,7.295791,3.573377,0.000000,0.000000,0.874913,6.283185
