dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.240142,6.904246,0.049047,0.490470,2.452348,12.261740,0.014677
0.200000,0.386978,6.906343,0.195897,0.734253,1.218915,-6.167167,0.013889
0.200000,0.631720,6.909585,0.440661,1.223817,2.447821,6.144532,0.012609
0.200000,0.974391,6.913609,0.783356,1.713475,2.448290,0.002346,0.010888
0.200000,1.415023,6.917941,1.224009,2.203264,2.448948,0.003287,0.008799
0.200000,1.953652,6.922033,1.762653,2.693223,2.449793,0.004228,0.006431
0.200000,2.495859,6.924922,2.304868,2.711076,0.089264,-11.802646,0.004257
0.200000,2.943675,6.926456,2.752687,2.239092,-2.359920,-12.245918,0.002618
0.200000,3.293567,6.927162,3.102580,1.749465,-2.448136,-0.441080,0.001437
0.200000,3.545508,6.927423,3.354520,1.259703,-2.448807,-0.003359,0.000640
0.200000,3.699477,6.927485,3.508489,0.769845,-2.449291,-0.002418,0.000175
0.200000,3.755462,6.927491,3.564475,0.279928,-2.449586,-0.001477,0.000010
0.200000,3.758958,6.927491,3.567971,0.017479,-1.312242,5.686723,6.283185
0.200000,3.758958,6.927491,3.567971,0.000000,-0.087397,6.124223,6.283185
